Race_ID,Horse,Predicted_Probability
58,Signora Bellissima,0.0627
58,Sonnerie Power,0.10676
58,Ribba Hill,0.06846
58,Orange N Blue,0.07136
58,Ever Hopefull,0.09682
58,Percy Willis,0.0986
58,Hartswood,0.0842
58,Urban Road,0.10988
58,Alpine Sierra,0.11562
58,Midnight Lion,0.083
58,Life On The Rocks,0.1026
59,Fleurman,0.14464
59,Cello,0.2054
59,Dreams Adozen,0.18892
59,Hedonista,0.18546
59,Something,0.1895
59,Quercus Robur,0.08608
60,Albasheer,0.13494
60,Saint Lawrence,0.07338
60,Malc,0.08726
60,Juan Les Pins,0.07982
60,Amazonian Dream,0.11792
60,Fire Demon,0.0746
60,Rohaan,0.12476
60,We Never Stop,0.10172
60,The Caltonian,0.07938
60,Secret Guest,0.12622
61,Popmaster,0.1759
61,Symbol Of Light,0.0898
61,Qazaq,0.1468
61,Blue Prince,0.134
61,Empirestateofmind,0.15536
61,Apiarist,0.16162
61,Storm Star,0.13652
62,Dicko The Legend,0.08024
62,Showtime Mahomes,0.12702
62,Novak,0.06414
62,Blackjack,0.08604
62,Moyola,0.05384
62,Too Much,0.08734
62,Rory,0.05626
62,Howzak,0.06238
62,Profit Street,0.08544
62,Kats Bob,0.09638
62,Wee Fat Mac,0.10316
62,Bellagio Man,0.09776
63,Papa Don't Preach,0.11106
63,The Gay Blade,0.13206
63,King Of The Jungle,0.13114
63,Show Me Show Me,0.14828
63,Stone Of Destiny,0.10808
63,Hard Nut,0.0818
63,Doon The Glen,0.10228
63,Rockley Point,0.08718
63,Elzaal,0.09812
64,Jamie Bond,0.13094
64,Masterclass,0.1138
64,Rogue De Vega,0.14336
64,Oriental Prince,0.13656
64,Three Beauz,0.13518
64,Piperstown,0.13246
64,Pockley,0.12624
64,Shatin Venture,0.08146
1939,Triple Force,0.10492
1939,Come On John,0.1904
1939,Fifty Sent,0.07798
1939,Treasure Storm,0.07868
1939,Inspiring Speeches,0.10412
1939,Violeta,0.10246
1939,Dragons Will Rise,0.05724
1939,Jujubella,0.1028
1939,Blackstone Cliff,0.09414
1939,Tiger Trap,0.08726
1940,Lahab,0.1468
1940,Brazilian Rose,0.09526
1940,McCauley's Tavern,0.12266
1940,Spartan Fighter,0.11992
1940,Art Fantastique,0.10886
1940,Noble Consort,0.14722
1940,Athollblair Boy,0.07908
1940,Thunderstorm Katie,0.09438
1940,Mr Stanley,0.08582
1941,Jimmy Knocker,0.09338
1941,Yoshimi,0.11952
1941,Giselles Izzy,0.12036
1941,Oriental Prince,0.2152
1941,Korroor,0.10704
1941,Hurstwood,0.11162
1941,Sydney Bay,0.11494
1941,Badosa,0.11794
1942,Jump The Gun,0.0897
1942,Bobby Joe Leg,0.07732
1942,Kalganov,0.06512
1942,Streak Lightning,0.10356
1942,Finn Ironside,0.08982
1942,Angel Of Antrim,0.14248
1942,Pallas Lord,0.07982
1942,Conquest Of Power,0.09162
1942,Impeach,0.07572
1942,Ravensbourne,0.12364
1942,Mickey Mongoose,0.0612
1943,Sanat,0.15364
1943,Thunder Star,0.1729
1943,Wrestling Revenue,0.1327
1943,Water Of Leith,0.14438
1943,Rodborough,0.10244
1943,Castan,0.1795
1943,Gustav Graves,0.11444
3821,Rainyniteingeorgia,0.11902
3821,Diamond Dreamer,0.11438
3821,Nogo's Dream,0.1406
3821,Master Of My Fate,0.15152
3821,Level Up,0.10264
3821,Harb,0.14946
3821,Gogo Yubari,0.12618
3821,Pop Dancer,0.0962
3822,True Courage,0.08868
3822,Knockbrex,0.13158
3822,Crystal Mariner,0.12672
3822,Therapist,0.12766
3822,Damascus Steel,0.10196
3822,Gallant Lion,0.10896
3822,Raintown,0.11798
3822,Early Morning Dew,0.09514
3822,Hebridean Nomad,0.10132
3823,Havana Sky,0.18232
3823,Lord Rapscallion,0.14962
3823,Tadreeb,0.12022
3823,Charlie Mason,0.16656
3823,Juan Solo,0.06854
3823,Crow's Nest,0.11762
3823,The Smiling Wolf,0.09356
3823,Lahina Bay,0.10156
3824,Sedgemoor,0.12632
3824,Flag Carrier,0.10018
3824,Secret Strength,0.10832
3824,Sonmarg,0.11024
3824,Overnight Oats,0.20254
3824,Star Pupil,0.12164
3824,Kondratiev Wave,0.13648
3824,Mount Mogan,0.09428
3825,Gordon Grey,0.10188
3825,Joycean Way,0.08706
3825,Rey De La Batalla,0.08178
3825,Tribal Wisdom,0.09192
3825,Imperial Fighter,0.0926
3825,Detroit Lion,0.0976
3825,Spectacular Style,0.10892
3825,Calanthe,0.10318
3825,Etretat,0.14704
3825,Stipulation,0.08802
3826,Gold Aura,0.1523
3826,Capstan,0.06686
3826,Doublethetrouble,0.0992
3826,Spitfire Bridge,0.1061
3826,Sophosc,0.1036
3826,Brividi,0.07522
3826,Further Measure,0.1032
3826,Arch Legend,0.10838
3826,Sir Joseph Swan,0.11786
3826,Balgowan,0.06728
3827,Sisterandbrother,0.12508
3827,Ace Rothstein,0.0823
3827,Young Endless,0.079
3827,Paradoxical,0.17278
3827,Pilgrim Of Culture,0.06642
3827,Yakhabar,0.0908
3827,Mr Nugget,0.07982
3827,Khangai,0.16832
3827,Coloane,0.13548
3828,Palmar Bay,0.083
3828,Lattaash,0.0869
3828,Newsreader,0.07762
3828,How Impressive,0.0854
3828,Billy Mill,0.076
3828,Ziggy's Condor,0.09546
3828,Judgment Call,0.08586
3828,Perennial,0.0643
3828,So Quiet,0.1034
3828,Legal Reform,0.06912
3828,Federal Envoy,0.08468
3828,Beauty Choice,0.08826
3829,Foro Romano,0.07292
3829,Rock Diva,0.08784
3829,Brightandbeautiful,0.1187
3829,Minelone,0.0939
3829,Cosmic Force,0.10158
3829,Whizz By,0.12064
3829,Empowered Queen,0.12038
3829,Bantz,0.10292
3829,The Outlaw,0.08792
3829,Desert Eye,0.0932
3830,Style Of Life,0.11782
3830,Rapido Girl,0.13912
3830,Liv My Life,0.0739
3830,Bella Kopella,0.12932
3830,Autumn Rose,0.11616
3830,Beveragino,0.092
3830,Just Rita,0.1045
3830,Lockdown Lass,0.08526
3830,Starsong,0.14192
3831,Jack Daniel,0.05082
3831,Joolianoss,0.0855
3831,Al Suil Eile,0.07648
3831,Elterwater,0.14482
3831,Union Island,0.14474
3831,Mr Fustic,0.07762
3831,War Memorial,0.06942
3831,Commander Crouch,0.11792
3831,Mykonos St John,0.11226
3831,Kodebreaker,0.12042
3832,Mercurius Power,0.1017
3832,Distinction,0.08296
3832,Tea Sea,0.13058
3832,Embarked,0.09138
3832,Drifts Away,0.13216
3832,Timebar,0.0775
3832,Devasboy,0.11096
3832,Billy McGarry,0.08858
3832,Anif,0.0901
3832,Jaamir,0.09408
5730,Line Of Force,0.20074
5730,Art Market,0.1983
5730,Blewburton,0.17926
5730,Misty Sky,0.2216
5730,Choreographic,0.2001
5731,Wadacre Gomez,0.06986
5731,Barenboim,0.09646
5731,Moon Over Miami,0.11138
5731,Arqoob,0.11714
5731,Gaassee,0.0738
5731,Old Harrovian,0.11546
5731,Asgard's Captain,0.16364
5731,In The Breeze,0.1117
5731,Glen Buck,0.14056
5732,Dubai Magic,0.12392
5732,Miakoda,0.16262
5732,Woodhay Whisper,0.09224
5732,Kensington Hope,0.1067
5732,Until Dawn,0.10108
5732,Frankies Dream,0.13676
5732,The Last Time,0.1002
5732,Cuban Lynx,0.17648
5733,Just Ten High,0.11502
5733,Eldeyaar,0.09502
5733,King's Crown,0.11514
5733,Raft Up,0.06288
5733,Due Date,0.08132
5733,Three Beauz,0.12776
5733,Bomb Squad,0.12498
5733,Laura's Breeze,0.11892
5733,She'Sashambles,0.0945
5733,Next Second,0.06446
5734,Rogue De Vega,0.15286
5734,Radiant Angel,0.07856
5734,Sir Maxi,0.13008
5734,Stars Away,0.05272
5734,Motagally,0.09174
5734,Beneficiary,0.11004
5734,Fircombe Hall,0.13186
5734,Midnightattheoasis,0.06966
5734,Ben Dikduk,0.0902
5734,Fantasy Navigator,0.09228
5735,Roaring Legend,0.17738
5735,Parramount,0.16242
5735,Lexington Knight,0.13978
5735,Optician,0.17182
5735,Wonder,0.15252
5735,Saligo Bay,0.10138
5735,Warrior Lion,0.0947
5736,Rebel Empire,0.13946
5736,Many A Star,0.1035
5736,Royal Pleasure,0.0753
5736,Last Outlaw,0.09688
5736,Hiatus,0.09902
5736,Antiphon,0.09424
5736,Ormolulu,0.1425
5736,Papa Cocktail,0.08864
5736,Tyke,0.0771
5736,Glendown,0.08336
5737,Angel Of Antrim,0.21912
5737,Rosenpur,0.12662
5737,Guiteau,0.08986
5737,Dan Dee Prince,0.07762
5737,Thomas Equinas,0.11262
5737,Circles,0.11108
5737,First Dynasty,0.06218
5737,Ignac Lamar,0.12114
5737,Cable Beach,0.07976
5738,What What What,0.08818
5738,Grey Operations,0.10136
5738,Ceira G,0.08006
5738,Kaleidoscope Eyes,0.12178
5738,Andalseeyagraham,0.0911
5738,Followeroffashion,0.0857
5738,Miss Pocket Rocket,0.05314
5738,Black Sky,0.07846
5738,General Gordon,0.07146
5738,Cuda Been A Rowlex,0.07382
5738,Tango In Paris,0.06528
5738,A Fine Claret,0.08966
5739,Split Elevens,0.13258
5739,Nights Over Egypt,0.11032
5739,Lion's Dream,0.1211
5739,Reputation,0.13676
5739,City Cyclone,0.16116
5739,American Rose,0.1061
5739,Plumette,0.14026
5739,Midnight Flame,0.09172
5740,Noble Order,0.15874
5740,Diamondonthehill,0.0787
5740,Cynosure,0.14232
5740,Vibrato,0.16722
5740,Smart Hero,0.1546
5740,Urban Sprawl,0.1459
5740,Island Bandit,0.15252
5741,Crafter,0.11036
5741,Capuchinero,0.09458
5741,Covert Legend,0.06624
5741,Cerulean Summer,0.1003
5741,Overlooked,0.10278
5741,Masqool,0.12604
5741,Tasmanian Legend,0.0661
5741,Green Power,0.06708
5741,Molly Valentine,0.10332
5741,Have You A Minute,0.10326
5741,The Pug,0.05994
9470,Lequinto,0.1412
9470,Em Jay Kay,0.12404
9470,Royal Musketeer,0.09542
9470,Hallowed Time,0.09544
9470,Classy Clarets,0.13292
9470,Haworth Star,0.06352
9470,Professor Tickle,0.08444
9470,Not Just Yet,0.10578
9470,Good Karma,0.1028
9470,Kipp Kelly,0.05444
9471,Enola Grey,0.22962
9471,Samra Star,0.17624
9471,Radiant Beauty,0.21292
9471,Jazzy Angel,0.17016
9471,Noisy Music,0.21106
9472,Golden Mind,0.10768
9472,Bobby Bennu,0.15088
9472,Brewing,0.15144
9472,Society Man,0.0898
9472,Royal Zabeel,0.14214
9472,Havanagreattime,0.12376
9472,Street Kid,0.10856
9472,Brasil Power,0.12574
9473,Mesaafi,0.10218
9473,Where's Freddy,0.10848
9473,Havana Force,0.12168
9473,The Caribbean,0.07478
9473,Eden Storm,0.07972
9473,Evocative Spark,0.0801
9473,Fools Rush In,0.12688
9473,Harbour Vision,0.09516
9473,Flatley,0.07078
9473,Circles,0.14024
9474,Thismydream,0.08872
9474,Basholo,0.08664
9474,Alafdhal,0.10598
9474,So Obsessed,0.0874
9474,Maharajas Express,0.0968
9474,Soldiers Design,0.0647
9474,Apache Star,0.12592
9474,Sir Benedict,0.08362
9474,Gustav Graves,0.10994
9474,Himawari,0.05044
9474,Buraback,0.09984
9475,Starfighter,0.13914
9475,Virtual Hug,0.1103
9475,Ocean Ridge,0.11916
9475,The Resdev Way,0.126
9475,Villazon,0.1084
9475,Abstract,0.07364
9475,Muhalhel,0.1108
9475,Pittsburg,0.0812
9475,Where Is The Love,0.13136
9476,Smokey Malone,0.12658
9476,Enzos Angel,0.13778
9476,Wannabeawallaby,0.12464
9476,Orange Martini,0.08358
9476,Desiderata,0.15152
9476,Walk The Moon,0.09772
9476,High Court Judge,0.18984
9476,This Time Maybe,0.08834
11322,Ellexis,0.13338
11322,Sid's Annie,0.1347
11322,Kingmont,0.14914
11322,Caramay,0.2004
11322,Silk Bird,0.08
11322,Disclosure,0.1674
11322,Equuleus Star,0.13498
11323,Ravenglass,0.11742
11323,Centurion Dream,0.0547
11323,Forever Proud,0.17952
11323,Doctor Awtaad,0.08402
11323,Al Shabab,0.11112
11323,Boujee Gold,0.12768
11323,Northern Cracksman,0.09306
11323,Glencalvie,0.10222
11323,Evasive Power,0.06756
11323,Melsmay,0.0627
11324,Just A Spark,0.1072
11324,Tiger Crusade,0.14086
11324,Power Over Me,0.08888
11324,Lir Speciale,0.10884
11324,Pure Angel,0.10906
11324,Lady Dreamer,0.11804
11324,Monsieur Kodi,0.13314
11324,Mojomaker,0.11814
11324,That's For Sure,0.07584
11325,Le Rouge Chinois,0.10286
11325,Green Team,0.15944
11325,It's A Love Thing,0.09696
11325,Lawmans Blis,0.12924
11325,Hill Station,0.12724
11325,Dark Mystery,0.1541
11325,Blue Sky Boy,0.08278
11325,Alfheim,0.14738
11326,Anamika,0.08176
11326,Till It Shines,0.07848
11326,Artificer,0.0993
11326,Pessoa,0.18572
11326,Heavenly Fire,0.12514
11326,Speed Court,0.053
11326,Too Much Too Young,0.08832
11326,Porfin,0.0899
11326,The Toff,0.09332
11326,Perfect Curves,0.10506
11327,Silky Robin,0.1017
11327,Bossy Parker,0.115
11327,Salaamaat,0.053
11327,Lady Ava,0.05276
11327,Heerathetrack,0.10758
11327,Concert Boy,0.10954
11327,Ash Wednesday,0.14894
11327,Brave Display,0.08256
11327,Quick Away,0.06694
11327,Kenstone,0.07086
11327,Gypsy Nation,0.09112
13230,Fiorella Princess,0.12496
13230,Dandy Magic,0.1203
13230,Blinky,0.14622
13230,Star Chorus,0.13802
13230,Oakley Boy,0.14276
13230,Fallen Soldier,0.12372
13230,Startling,0.11742
13230,Atherstone Beau,0.0866
13231,Illucidate,0.24592
13231,Percy Willis,0.28328
13231,Humble Spark,0.2824
13231,Show No Fear,0.1884
